Harga,Cicilan,Alamat,KT,KM,Garasi,LT,LB
520000 ,Cicilan : 57 Jutaan per bulan,"Dago, Bandung",4.00 ,3.00 ,3.00 ,450.00 ,400.00 
NULL,NULL,NULL,2.00 ,1.00 ,3.00 ,42.00 ,72.00 
191750 ,Cicilan : 21 Jutaan per bulan,"Mekar Wangi, Bandung",3.00 ,3.00 ,1.00 ,110.00 ,165.00 
195000 ,Cicilan : 21 Jutaan per bulan,"Turangga, Bandung",5.00 ,3.00 ,0.00 ,186.00 ,200.00 
617500 ,Cicilan : 68 Jutaan per bulan,"Setiabudi, Bandung",5.00 ,5.00 ,3.00 ,1700.00 ,600.00 
61750 ,Cicilan : 6 Jutaan per bulan,"Arcamanik, Bandung",2.00 ,1.00 ,1.00 ,76.00 ,50.00 
130000 ,Cicilan : 14 Jutaan per bulan,"Gede Bage, Bandung",4.00 ,2.00 ,1.00 ,105.00 ,104.00 
48750 ,Cicilan : 5 Jutaan per bulan,"Bojongsoang, Bandung",1.00 ,1.00 ,2.00 ,116.00 ,82.00 
69550 ,Cicilan : 7 Jutaan per bulan,"Soekarno Hatta, Bandung",3.00 ,2.00 ,2.00 ,136.00 ,100.00 
292500 ,Cicilan : 32 Jutaan per bulan,"Setra Duta, Bandung",4.00 ,5.00 ,2.00 ,175.00 ,330.00 
45175 ,Cicilan : 4 Jutaan per bulan,"Antapani, Bandung",4.00 ,2.00 ,1.00 ,90.00 ,160.00 
185250 ,Cicilan : 20 Jutaan per bulan,"Setra Duta, Bandung",4.00 ,3.00 ,1.00 ,126.00 ,160.00 
130650 ,Cicilan : 14 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",3.00 ,2.00 ,1.00 ,120.00 ,95.00 
390000 ,Cicilan : 42 Jutaan per bulan,"Geger Kalong, Bandung",5.00 ,3.00 ,3.00 ,450.00 ,330.00 
312000 ,Cicilan : 34 Jutaan per bulan,"Setra Murni, Bandung",4.00 ,4.00 ,2.00 ,210.00 ,250.00 
211250 ,Cicilan : 23 Jutaan per bulan,"Cipaku, Bandung",4.00 ,3.00 ,2.00 ,242.00 ,270.00 
416000 ,Cicilan : 45 Jutaan per bulan,"Kota Baru Parahyangan, Bandung",4.00 ,4.00 ,2.00 ,350.00 ,300.00 
156000 ,Cicilan : 17 Jutaan per bulan,"Turangga, Bandung",4.00 ,2.00 ,2.00 ,140.00 ,120.00 
